id,Entity,Type,Salience,EntSentiment,EntMagnitude
758014713804587008,RT @polarcomic,OTHER,0.6998505592346191,0.10000000149011612,0.10000000149011612
758014713804587008,story,OTHER,0.16170188784599304,0.30000001192092896,0.30000001192092896
758014713804587008,RegularShow #38,WORK_OF_ART,0.138447567820549,0.20000000298023224,0.20000000298023224
758014717990428672,RT @SweetBabyBellB,OTHER,0.8963409066200256,0.20000000298023224,0.4000000059604645
758014717990428672,https://t.co/A9RK5b0Hfm,OTHER,0.0635385662317276,0.4000000059604645,0.4000000059604645
758014717990428672,Bellarke,PERSON,0.04012055695056915,0.0,0.0
758014646716665857,RT @WhyLarryIsReal,OTHER,0.5819840431213379,0.0,0.0
758014646716665857,harry,PERSON,0.30887359380722046,-0.10000000149011612,0.10000000149011612
758014646716665857,https://t.co/fW2TEwSHEq,OTHER,0.10914237797260284,-0.10000000149011612,0.10000000149011612
758014655071526912,RT @Eastbay,OTHER,0.5088601112365723,0.30000001192092896,0.30000001192092896
758014655071526912,cover,WORK_OF_ART,0.23847028613090515,0.5,0.5
758014655071526912,more,OTHER,0.1265554279088974,0.0,0.0
758014655071526912,@crysdunn_19,OTHER,0.055584751069545746,0.0,0.0
758014655071526912,copy,OTHER,0.03637184947729111,0.0,0.0
758014655071526912,https://t.co/j4JwiEgCmd,OTHER,0.03415754437446594,0.0,0.0
758014642526429184,someone,PERSON,0.6443324685096741,0.6000000238418579,1.899999976158142
758014642526429184,RT @SheeeRatchet,OTHER,0.2068743258714676,0.20000000298023224,0.20000000298023224
758014642526429184,bottle,CONSUMER_GOOD,0.07234025001525879,0.6000000238418579,0.6000000238418579
758014642526429184,ketchup,CONSUMER_GOOD,0.04828665778040886,0.30000001192092896,0.30000001192092896
758014642526429184,Pikachu,PERSON,0.02816629409790039,0.5,0.5
758014705436798976,RT @Sadieisonfire,OTHER,0.28512486815452576,0.0,0.0
758014705436798976,hole,OTHER,0.23408077657222748,0.0,0.0
758014705436798976,video,WORK_OF_ART,0.1348092406988144,0.0,0.0
758014705436798976,moments,OTHER,0.1332634687423706,0.0,0.0
758014705436798976,Harambes,ORGANIZATION,0.11767849326133728,0.0,0.0
758014705436798976,heart,OTHER,0.09504314512014389,0.0,0.0
758014642518106117,RT @MDremaxcrossrds,OTHER,0.4508621394634247,0.0,0.0
758014642518106117,buyer,PERSON,0.21557871997356415,0.0,0.0
758014642518106117,Hastings Dr,PERSON,0.12090039253234863,0.0,0.0
758014642518106117,realestate,ORGANIZATION,0.10834535956382751,0.0,0.0
758014642518106117,Chance #MD https://t.co/3ptbw5QwKv,OTHER,0.10431339591741562,0.0,0.0
758014713796128769,RT @thefader,OTHER,0.33321717381477356,0.0,0.0
758014713796128769,tour merchandise,CONSUMER_GOOD,0.18571078777313232,0.0,0.0
758014713796128769,Rihanna,PERSON,0.13617712259292603,0.0,0.0
758014713796128769,variety,OTHER,0.10983780771493912,0.10000000149011612,0.10000000149011612
758014713796128769,ANTI,OTHER,0.09331905841827393,0.0,0.0
758014713796128769,Paris,LOCATION,0.08688052743673325,0.0,0.0
758014713796128769,NSFW,OTHER,0.029290946200489998,0.10000000149011612,0.10000000149011612
758014713796128769,https://t.co/HWWq0Ntwcc https://t.co/cc7bGun5Nl,OTHER,0.02556656301021576,0.0,0.0
758014676059906048,@MayorMemphis,PERSON,0.5473410487174988,0.5,1.0
758014676059906048,RT @MBJCorbet,OTHER,0.22335286438465118,0.0,0.0
758014676059906048,promise,OTHER,0.10560296475887299,0.699999988079071,0.699999988079071
758014676059906048,Union,LOCATION,0.05895906314253807,0.0,0.0
758014676059906048,Midtown Market,OTHER,0.04480862244963646,0.0,0.0
758014676059906048,Belz,PERSON,0.019935408607125282,0.0,0.0
758014701229973505,RT @AbbsWinston,OTHER,0.3238382637500763,0.0,0.0
758014701229973505,One,PERSON,0.1793563812971115,0.0,0.0
758014701229973505,houses,LOCATION,0.12386123836040497,-0.10000000149011612,0.10000000149011612
758014701229973505,occupation,OTHER,0.11544985324144363,-0.20000000298023224,0.20000000298023224
758014701229973505,Palestinian,LOCATION,0.07470052689313889,0.0,0.0
758014701229973505,israeli,LOCATION,0.06952858716249466,0.0,0.0
758014701229973505,N,PERSON,0.052741292864084244,0.0,0.0
758014701229973505,Jerusalem https://t.co/a9W62bid,OTHER,0.03713707998394966,-0.10000000149011612,0.10000000149011612
758014701229973505,Qalandia,LOCATION,0.023386776447296143,0.0,0.0
758014701217296385,RT @official_haylee,OTHER,0.37473589181900024,0.0,0.0
758014701217296385,pic,WORK_OF_ART,0.17714516818523407,0.0,0.0
758014701217296385,rules,OTHER,0.17714516818523407,0.0,0.0
758014701217296385,LEGITGIVEAWAY,LOCATION,0.15661171078681946,0.0,0.0
758014701217296385,luck,OTHER,0.05718102678656578,0.8999999761581421,0.8999999761581421
758014701217296385,everybody,PERSON,0.05718102678656578,0.10000000149011612,0.10000000149011612
758014680258322433,RT @michaelkeyes,OTHER,0.8903880715370178,0.10000000149011612,0.20000000298023224
758014680258322433,koran,OTHER,0.10961191356182098,0.0,0.0
758014638323884032,ASSISTANCE,OTHER,0.578070342540741,0.699999988079071,0.699999988079071
758014638323884032,HOTEL,LOCATION,0.2559508979320526,0.20000000298023224,0.20000000298023224
758014638323884032,#tweetuk,WORK_OF_ART,0.0771186351776123,0.20000000298023224,0.20000000298023224
758014638323884032,B2BHOUR https://t.co/ZLOqHSBjWA,OTHER,0.05446741729974747,0.10000000149011612,0.10000000149011612
758014638323884032,KPRS #sbutd,OTHER,0.03439270332455635,0.10000000149011612,0.10000000149011612
758014701242556417,RT @GUNSandcrayons,WORK_OF_ART,0.7735236883163452,0.6000000238418579,1.2000000476837158
758014701242556417,https://t.co/wR33b5IfyT,OTHER,0.22647632658481598,0.0,0.0
758014671861456896,https://t.co/4Yfcnynj5K,OTHER,1.0,0.0,0.0
758014713829752832,chat,OTHER,0.4455975592136383,0.8999999761581421,0.8999999761581421
758014713829752832,SpaBeauty,OTHER,0.31211668252944946,0.8999999761581421,0.8999999761581421
758014713829752832,lots,OTHER,0.14617003500461578,0.8999999761581421,0.8999999761581421
758014713829752832,beauty fans,PERSON,0.049559518694877625,0.8999999761581421,0.8999999761581421
758014713829752832,SpaBeauty https://t.co/sUwex6BSvN,OTHER,0.046556200832128525,0.0,0.0
758014713821294592,CEO,PERSON,0.42259153723716736,0.0,0.0
