node_id	pr_value
663930	0.00017081184498912372
482708	9.491525034951649e-05
1034017	5.450710533609257e-05
663559	4.907826665074313e-05
357530	4.628752457106335e-05
1120567	4.5422691887959496e-05
663605	4.4157509549024906e-05
663682	3.7142869255544e-05
1108860	3.674588739918366e-05
664788	3.399190793391893e-05
